t	x0	y0	z0
0.000000000000000000e+00	0.000000000000000000e+00	1.104315260748465477e-01	9.938837346736189016e-01
1.000667111407605066e-02	-3.257203946109205051e-03	1.100589948241997157e-01	9.939197192332690500e-01
2.001334222815210132e-02	-6.492508844513212099e-03	1.095916242767633469e-01	9.939554935797100255e-01
3.002001334222815371e-02	-9.703188885935841793e-03	1.090303760691751084e-01	9.939910589233981186e-01
4.002668445630420263e-02	-1.288655565710180098e-02	1.083762891366572140e-01	9.940264164680253645e-01
5.003335557038025155e-02	-1.603996030150921931e-02	1.076304783544035221e-01	9.940615674105545141e-01
6.004002668445630742e-02	-1.916079563297358110e-02	1.067941331195223359e-01	9.940965129412542289e-01
7.004669779853235634e-02	-2.224649820033775677e-02	1.058685158751260930e-01	9.941312542437344968e-01
8.005336891260840526e-02	-2.529455030179516770e-02	1.048549605782011784e-01	9.941657924949812708e-01
9.006004002668445418e-02	-2.830248194732654446e-02	1.037548711129322593e-01	9.942001288653908864e-01
1.000667111407605031e-01	-3.126787276780527980e-02	1.025697196511944492e-01	9.942342645188064765e-01
1.100733822548365520e-01	-3.418835386938161996e-02	1.013010449619630715e-01	9.942682006125492800e-01
1.200800533689126148e-01	-3.706160963181265311e-02	9.995045067142775685e-02	9.943019382974559450e-01
1.300867244829886638e-01	-3.988537944946191072e-02	9.851960347562974118e-02	9.943354787179109477e-01
1.400933955970647127e-01	-4.265745941375068129e-02	9.701023130747410406e-02	9.943688230118814531e-01
1.501000667111407616e-01	-4.537570393590188711e-02	9.542412145999824846e-02	9.944019723109508435e-01
1.601067378252168105e-01	-4.803802730887683087e-02	9.376311866780648319e-02	9.944349277403516929e-01
1.701134089392928594e-01	-5.064240520746544905e-02	9.202912314860679788e-02	9.944676904190008493e-01
1.801200800533689084e-01	-5.318687612555100114e-02	9.022408860680986020e-02	9.945002614595312984e-01
1.901267511674449573e-01	-5.566954274963207411e-02	8.835002020117406485e-02	9.945326419683262476e-01
2.001334222815210062e-01	-5.808857326774583690e-02	8.640897247849996243e-02	9.945648330455525432e-01
2.101400933955970551e-01	-6.044220261299892288e-02	8.440304727539679752e-02	9.945968357851922015e-01
2.201467645096731041e-01	-6.272873364097505955e-02	8.233439159016096853e-02	9.946286512750764919e-01
2.301534356237491530e-01	-6.494653824035079293e-02	8.020519542682073844e-02	9.946602805969184669e-01
2.401601067378252297e-01	-6.709405837611423506e-02	7.801768961341482012e-02	9.946917248263442701e-01
2.501667778519012786e-01	-6.916980706484467112e-02	7.577414359658395104e-02	9.947229850329268874e-01
2.601734489659773275e-01	-7.117236928157434639e-02	7.347686321456332881e-02	9.947540622802177879e-01
2.701801200800533764e-01	-7.310040279781693240e-02	7.112818845067137019e-02	9.947849576257790094e-01
2.801867911941294254e-01	-7.495263895041109903e-02	6.873049116939583536e-02	9.948156721212141340e-01
2.901934623082054743e-01	-7.672788334089053475e-02	6.628617283718195308e-02	9.948462068122017055e-01
3.002001334222815232e-01	-7.842501646515499802e-02	6.379766223002818204e-02	9.948765627385255383e-01
3.102068045363575721e-01	-8.004299427328061267e-02	6.126741312999618022e-02	9.949067409341068036e-01
3.202134756504336210e-01	-8.158084865937002828e-02	5.869790201273843155e-02	9.949367424270350035e-01
3.302201467645096700e-01	-8.303768788140582224e-02	5.609162572814352377e-02	9.949665682395988364e-01
3.402268178785857189e-01	-8.441269691113320595e-02	5.345109917619341594e-02	9.949962193883181705e-01
3.502334889926617678e-01	-8.570513771405928460e-02	5.077885298011883958e-02	9.950256968839739091e-01
3.602401601067378167e-01	-8.691434945971851511e-02	4.807743115893030328e-02	9.950550017316390772e-01
3.702468312208138657e-01	-8.803974866241447150e-02	4.534938880139033346e-02	9.950841349307100181e-01
3.802535023348899146e-01	-8.908082925270845165e-02	4.259728974347985753e-02	9.951130974749351488e-01
3.902601734489659635e-01	-9.003716257998607697e-02	3.982370425139702269e-02	9.951418903524474890e-01
4.002668445630420124e-01	-9.090839734649137915e-02	3.703120671210982651e-02	9.951705145457926394e-01
4.102735156771180614e-01	-9.169425947327722315e-02	3.422237333346639376e-02	9.951989710319602001e-01
4.202801867911941103e-01	-9.239455189857850859e-02	3.139977985584623682e-02	9.952272607824130812e-01
4.302868579052701592e-01	-9.300915430917154614e-02	2.856599927731478042e-02	9.952553847631177009e-01
4.402935290193462081e-01	-9.353802280533940472e-02	2.572359959422014161e-02	9.952833439345724065e-01
4.503002001334222570e-01	-9.398118950011878636e-02	2.287514155914643563e-02	9.953111392518381173e-01
4.603068712474983060e-01	-9.433876205355760936e-02	2.002317645811161131e-02	9.953387716645673011e-01
4.703135423615743549e-01	-9.461092314276696447e-02	1.717024390886999832e-02	9.953662421170327290e-01
4.803202134756504593e-01	-9.479792986860287318e-02	1.431886968215052673e-02	9.953935515481568963e-01
4.903268845897265082e-01	-9.490011309986536026e-02	1.147156354763067404e-02	9.954207008915403332e-01
5.003335557038025572e-01	-9.491787675595234064e-02	8.630817146414134985e-03	9.954476910754914698e-01
5.103402268178786061e-01	-9.485169702895515642e-02	5.799101891746523060e-03	9.954745230230538366e-01
5.203468979319546550e-01	-9.470212154623117162e-02	2.978866899668588478e-03	9.955011976520355965e-01
5.303535690460307039e-01	-9.446976847453500414e-02	1.725369512700997631e-04	9.955277158750369670e-01
5.403602401601067529e-01	-9.415532556683640919e-02	-2.617489511829920647e-03	9.955540785994794195e-01
5.503669112741828018e-01	-9.375954915299684889e-02	-5.388842357189680202e-03	9.955802867276332124e-01
5.603735823882588507e-01	-9.328326307551998431e-02	-8.139181694890825977e-03	9.956063411566445920e-01
5.703802535023348996e-01	-9.272735757163345915e-02	-1.086619977301848082e-02	9.956322427785649909e-01
5.803869246164109486e-01	-9.209278810299927065e-02	-1.356762283381138419e-02	9.956579924803776738e-01
5.903935957304869975e-01	-9.138057413438954724e-02	-1.624121292906164152e-02	9.956835911440251596e-01
6.004002668445630464e-01	-9.059179786270228629e-02	-1.888476969338794345e-02	9.957090396464375326e-01
6.104069379586390953e-01	-8.972760289772722941e-02	-2.149613207405123155e-02	9.957343388595588651e-01
6.204136090727151442e-01	-8.878919289610760768e-02	-2.407318001602799795e-02	9.957594896503743076e-01
6.304202801867911932e-01	-8.777783014997633804e-02	-2.661383610110353709e-02	9.957844928809373997e-01
6.404269513008672421e-01	-8.669483413177699049e-02	-2.911606713979516745e-02	9.958093494083968267e-01
6.504336224149432910e-01	-8.554157999681061275e-02	-3.157788571496428914e-02	9.958340600850233981e-01
6.604402935290193399e-01	-8.431949704507732402e-02	-3.399735167602529334e-02	9.958586257582358048e-01
6.704469646430953889e-01	-8.303006714400988642e-02	-3.637257358270981622e-02	9.958830472706278192e-01
6.804536357571714378e-01	-8.167482311372119275e-02	-3.870171009739505064e-02	9.959073254599946079e-01
6.904603068712474867e-01	-8.025534707641171495e-02	-4.098297132505657886e-02	9.959314611593582667e-01
7.004669779853235356e-01	-7.877326877160605034e-02	-4.321462009995784975e-02	9.959554551969946878e-01
7.104736490993995845e-01	-7.723026383890747859e-02	-4.539497321824070841e-02	9.959793083964586513e-01
7.204803202134756335e-01	-7.562805206997955110e-02	-4.752240261563444451e-02	9.960030215766105810e-01
7.304869913275516824e-01	-7.396839563148042973e-02	-4.959533648955366525e-02	9.960265955516413028e-01
7.404936624416277313e-01	-7.225309726069249761e-02	-5.161226036490915853e-02	9.960500311310981347e-01
7.505003335557037802e-01	-7.048399843560333722e-02	-5.357171810300954962e-02	9.960733291199106443e-01
7.605070046697798292e-01	-6.866297752120677222e-02	-5.547231285298553916e-02	9.960964903184141850e-01
7.705136757838558781e-01	-6.679194789380471509e-02	-5.731270794522331374e-02	9.961195155223779851e-01
7.805203468979319270e-01	-6.487285604509812620e-02	-5.909162772634719840e-02	9.961424055230271302e-01
7.905270180120079759e-01	-6.290767966786481313e-02	-6.080785833534715912e-02	9.961651611070694301e-01
8.005336891260840249e-01	-6.089842572502685708e-02	-6.246024842050063031e-02	9.961877830567200665e-01
8.105403602401600738e-01	-5.884712850391492223e-02	-6.404770979679280662e-02	9.962102721497252400e-01
8.205470313542361227e-01	-5.675584765754011080e-02	-6.556921804359452932e-02	9.962326291593874839e-01
8.305537024683121716e-01	-5.462666623468443589e-02	-6.702381304241050719e-02	9.962548548545901994e-01
8.405603735823882205e-01	-5.246168870062101891e-02	-6.841059945456574864e-02	9.962769499998213041e-01
8.505670446964642695e-01	-5.026303895027289803e-02	-6.972874713875129582e-02	9.962989153551977672e-01
8.605737158105403184e-01	-4.803285831561560776e-02	-7.097749150840515497e-02	9.963207516764902572e-01
8.705803869246163673e-01	-4.577330356912358289e-02	-7.215613382895677552e-02	9.963424597151457895e-01
8.805870580386924162e-01	-4.348654492505357738e-02	-7.326404145501760889e-02	9.963640402183123745e-01
8.905937291527684652e-01	-4.117476404034991350e-02	-7.430064800765265320e-02	9.963854939288631085e-01
9.006004002668445141e-01	-3.884015201694636377e-02	-7.526545349192016732e-02	9.964068215854186006e-01
9.106070713809205630e-01	-3.648490740722830361e-02	-7.615802435491920985e-02	9.964280239223711755e-01
9.206137424949966119e-01	-3.411123422440564407e-02	-7.697799348463553459e-02	9.964491016699082993e-01
9.306204136090726609e-01	-3.172133995953262120e-02	-7.772506014992762446e-02	9.964700555540353388e-01
9.406270847231487098e-01	-2.931743360689481950e-02	-7.839898988204481445e-02	9.964908862965984326e-01
9.506337558372247587e-01	-2.690172369946636916e-02	-7.899961429811921954e-02	9.965115946153091375e-01
9.606404269513009186e-01	-2.447641635612148037e-02	-7.952683086712168670e-02	9.965321812237647459e-01
9.706470980653769676e-01	-2.204371334226463627e-02	-7.998060261882121436e-02	9.965526468314729325e-01
9.806537691794530165e-01	-1.960581014552194648e-02	-8.036095779633366243e-02	9.965729921438738481e-01
9.906604402935290654e-01	-1.716489406811357726e-02	-8.066798945289313516e-02	9.965932178623625459e-01
1.000667111407605114e+00	-1.472314233750300627e-02	-8.090185499352478549e-02	9.966133246843112969e-01
1.010673782521681163e+00	-1.228272023689338556e-02	-8.106277566234319776e-02	9.966333133030919056e-01
1.020680453635757212e+00	-9.845779257114745109e-03	-8.115103597624429010e-02	9.966531844080982472e-01
1.030687124749833261e+00	-7.414455271417818259e-03	-8.116698310580193476e-02	9.966729386847675842e-01
1.040693795863909310e+00	-4.990866734661257229e-03	-8.111102620422291909e-02	9.966925768146038811e-01
1.050700466977985359e+00	-2.577112908348769792e-03	-8.098363568525469847e-02	9.967120994751974550e-01
1.060707138092061408e+00	-1.752721129414280452e-04	-8.078534245098092925e-02	9.967315073402488457e-01
1.070713809206137457e+00	2.212599991162098566e-03	-8.051673707047868334e-02	9.967508010795892437e-01
1.080720480320213506e+00	4.584472092618028724e-03	-8.017846891034913215e-02	9.967699813592021396e-01
1.090727151434289555e+00	6.938338886777846090e-03	-7.977124521817088865e-02	9.967890488412454175e-01
1.100733822548365604e+00	9.272222700687176786e-03	-7.929583015996018169e-02	9.968080041840714500e-01
1.110740493662441652e+00	1.158417508419020900e-02	-7.875304381275755050e-02	9.968268480422488587e-01
1.120747164776517701e+00	1.387227836592400294e-02	-7.814376111349327636e-02	9.968455810665841632e-01
1.130753835890593750e+00	1.613464717302516213e-02	-7.746891076531646492e-02	9.968642039041413216e-01
1.140760507004669799e+00	1.836942991341045106e-02	-7.672947410260357037e-02	9.968827171982641566e-01
1.150767178118745848e+00	2.057481021953262018e-02	-7.592648391589155998e-02	9.969011215885957844e-01
1.160773849232821897e+00	2.274900835255329323e-02	-7.506102323800969978e-02	9.969194177110999311e-01
1.170780520346897946e+00	2.489028256591602553e-02	-7.413422409271074043e-02	9.969376061980813608e-01
1.180787191460973995e+00	2.699693042734450932e-02	-7.314726620712831695e-02	9.969556876782060817e-01
1.190793862575050044e+00	2.906729009833351057e-02	-7.210137568941155095e-02	9.969736627765216630e-01
1.200800533689126093e+00	3.109974157024315150e-02	-7.099782367291138097e-02	9.969915321144779963e-01
1.210807204803202142e+00	3.309270785615085059e-02	-6.983792492831432386e-02	9.970092963099465022e-01
1.220813875917278191e+00	3.504465613765946758e-02	-6.862303644514061718e-02	9.970269559772403367e-01
1.230820547031354240e+00	3.695409886590470677e-02	-6.735455598404185840e-02	9.970445117271353741e-01
1.240827218145430288e+00	3.881959481604987938e-02	-6.603392060135117314e-02	9.970619641668877486e-01
1.250833889259506337e+00	4.063975009460168986e-02	-6.466260514735587550e-02	9.970793139002561700e-01
1.260840560373582386e+00	4.241321909892618175e-02	-6.324212073977619752e-02	9.970965615275193539e-01
1.270847231487658435e+00	4.413870542839026800e-02	-6.177401321394809103e-02	9.971137076454966719e-01
1.280853902601734484e+00	4.581496274660036561e-02	-6.025986155121976912e-02	9.971307528475670257e-01
1.290860573715810533e+00	4.744079559425620068e-02	-5.870127628708231987e-02	9.971476977236881645e-01
1.300867244829886582e+00	4.901506015218452805e-02	-5.709989790056391179e-02	9.971645428604164474e-01
1.310873915943962631e+00	5.053666495416404142e-02	-5.545739518642487514e-02	9.971812888409244957e-01
1.320880587058038680e+00	5.200457154920003905e-02	-5.377546361169757011e-02	9.971979362450220652e-01
1.330887258172114729e+00	5.341779511295358801e-02	-5.205582365811951134e-02	9.972144856491733655e-01
1.340893929286190778e+00	5.477540500807751012e-02	-5.030021915201224325e-02	9.972309376265162673e-01
1.350900600400266827e+00	5.607652529325785062e-02	-4.851041558316031982e-02	9.972472927468812864e-01
1.360907271514342876e+00	5.732033518080616175e-02	-4.668819841424556166e-02	9.972635515768096814e-01
1.370913942628418924e+00	5.850606944269504811e-02	-4.483537138239144376e-02	9.972797146795726597e-01
1.380920613742494973e+00	5.963301876497492660e-02	-4.295375479436992078e-02	9.972957826151885863e-01
1.390927284856571022e+00	6.070053005055729700e-02	-4.104518381702036006e-02	9.973117559404424126e-01
1.400933955970647071e+00	6.170800667039449960e-02	-3.911150676442478463e-02	9.973276352089029961e-01
1.410940627084723120e+00	6.265490866313273843e-02	-3.715458338337823685e-02	9.973434209709421960e-01
1.420947298198799169e+00	6.354075288335947480e-02	-3.517628313868521872e-02	9.973591137737514156e-01
1.430953969312875218e+00	6.436511309861216168e-02	-3.317848349980470624e-02	9.973747141613608092e-01
1.440960640426951267e+00	6.512762003535893518e-02	-3.116306823035612170e-02	9.973902226746560462e-01
1.450967311541027316e+00	6.582796137420668381e-02	-2.913192568198740701e-02	9.974056398513974075e-01
1.460973982655103365e+00	6.646588169463507612e-02	-2.708694709409365312e-02	9.974209662262352172e-01
1.470980653769179414e+00	6.704118236959852317e-02	-2.503002490086119608e-02	9.974362023307298264e-01
1.480987324883255463e+00	6.755372141038026856e-02	-2.296305104709665118e-02	9.974513486933671569e-01
1.490993995997331512e+00	6.800341326212504256e-02	-2.088791531428447340e-02	9.974664058395771304e-01
1.501000667111407560e+00	6.839022855051793415e-02	-1.880650365829895573e-02	9.974813742917501003e-01
1.511007338225483609e+00	6.871419378011769941e-02	-1.672069656017806036e-02	9.974962545692546145e-01
1.521014009339559658e+00	6.897539098489292864e-02	-1.463236739134668972e-02	9.975110471884538477e-01
1.531020680453635707e+00	6.917395733154861615e-02	-1.254338079465614104e-02	9.975257526627235860e-01
1.541027351567711756e+00	6.931008467626907643e-02	-1.045559108258451060e-02	9.975403715024682150e-01
1.551034022681787805e+00	6.938401907554125891e-02	-8.370840653919792498e-03	9.975549042151373724e-01
1.561040693795863854e+00	6.939606025175902582e-02	-6.290958430223358815e-03	9.975693513052430461e-01
1.571047364909939903e+00	6.934656101434548414e-02	-4.217758313346356078e-03	9.975837132743766711e-01
1.581054036024015952e+00	6.923592663716503226e-02	-2.153037665245518834e-03	9.975979906212247839e-01
1.591060707138092001e+00	6.906461419303200344e-02	-9.857581131788475232e-05	9.976121838415853427e-01
1.601067378252168050e+00	6.883313184615545699e-02	1.943867431554103381e-03	9.976262934283852690e-01
1.611074049366244099e+00	6.854203810339240532e-02	3.972553201084465246e-03	9.976403198716949916e-01
1.621080720480320148e+00	6.819194102521355938e-02	5.985765008659583129e-03	9.976542636587460988e-01
1.631087391594396196e+00	6.778349739731578949e-02	7.981810130305798043e-03	9.976681252739469929e-01
1.641094062708472245e+00	6.731741186384505859e-02	9.959020968477649491e-03	9.976819051988979892e-01
1.651100733822548294e+00	6.679443602322254758e-02	1.191575638362794842e-02	9.976956039124087461e-01
1.661107404936624343e+00	6.621536748759350444e-02	1.385040299455360391e-02	9.977092218905123655e-01
1.671114076050700392e+00	6.558104890694536893e-02	1.576137644654482944e-02	9.977227596064827120e-01
1.681120747164776441e+00	6.489236695896626050e-02	1.764712264639949763e-02	9.977362175308491787e-01
1.691127418278852490e+00	6.415025130573991097e-02	1.950611896339931109e-02	9.977495961314121198e-01
1.701134089392928539e+00	6.335567351839578587e-02	2.133687539537997349e-02	9.977628958732592812e-01
1.711140760507004588e+00	6.250964597085499619e-02	2.313793569906353112e-02	9.977761172187799010e-01
1.721147431621080637e+00	6.161322070383382782e-02	2.490787848385763933e-02	9.977892606276809184e-01
1.731154102735156686e+00	6.066748826028596497e-02	2.664531826836363804e-02	9.978023265570017397e-01
1.741160773849232735e+00	5.967357649348328796e-02	2.834890649887270714e-02	9.978153154611302256e-01
1.751167444963308784e+00	5.863264934895209834e-02	3.001733252916743283e-02	9.978282277918160137e-01
1.761174116077384832e+00	5.754590562149845823e-02	3.164932456098450142e-02	9.978410639981876162e-01
1.771180787191460881e+00	5.641457768857026378e-02	3.324365054453265467e-02	9.978538245267657425e-01
1.781187458305536930e+00	5.523993022121840429e-02	3.479911903849940147e-02	9.978665098214788420e-01
1.791194129419612979e+00	5.402325887393130688e-02	3.631458002901894605e-02	9.978791203236775376e-01
1.801200800533689028e+00	5.276588895462883122e-02	3.778892570711349375e-02	9.978916564721493909e-01
1.811207471647765077e+00	5.146917407611139444e-02	3.922109120415971650e-02	9.979041187031337801e-01
1.821214142761841126e+00	5.013449479026930999e-02	4.061005528497209360e-02	9.979165074503358879e-01
1.831220813875917175e+00	4.876325720636499883e-02	4.195484099813484580e-02	9.979288231449411350e-01
1.841227484989993224e+00	4.735689159470720527e-02	4.325451628325430870e-02	9.979410662156302791e-01
1.851234156104069273e+00	4.591685097704163721e-02	4.450819453484367721e-02	9.979532370885927373e-01
1.861240827218145322e+00	4.444460970498659985e-02	4.571503512259236790e-02	9.979653361875409079e-01
1.871247498332221371e+00	4.294166202784512748e-02	4.687424386781242208e-02	9.979773639337253810e-01
1.881254169446297420e+00	4.140952065112652597e-02	4.798507347589423683e-02	9.979893207459472615e-01
1.891260840560373468e+00	3.984971528711116900e-02	4.904682392464445456e-02	9.980012070405731572e-01
1.901267511674449517e+00	3.826379119879132901e-02	5.005884280841827599e-02	9.980130232315496119e-01
1.911274182788525566e+00	3.665330773851897816e-02	5.102052563799839430e-02	9.980247697304149845e-01
1.921280853902601837e+00	3.501983688268883038e-02	5.193131609621264716e-02	9.980364469463153254e-01
1.931287525016677886e+00	3.336496176378008632e-02	5.279070624932121619e-02	9.980480552860165888e-01
1.941294196130753935e+00	3.169027520107545876e-02	5.359823671424387981e-02	9.980595951539186217e-01
1.951300867244829984e+00	2.999737823136936973e-02	5.435349678173639898e-02	9.980710669520692635e-01
1.961307538358906033e+00	2.828787864096951946e-02	5.505612449566341104e-02	9.980824710801766697e-01
1.971314209472982082e+00	2.656338950028742235e-02	5.570580668855384943e-02	9.980938079356236337e-01
1.981320880587058131e+00	2.482552770230355213e-02	5.630227897366209266e-02	9.981050779134800210e-01
1.991327551701134180e+00	2.307591250618184001e-02	5.684532569379580069e-02	9.981162814065170918e-01
2.001334222815210229e+00	2.131616408729626252e-02	5.733477982720791566e-02	9.981274188052190466e-01
2.011340893929286278e+00	1.954790209491924849e-02	5.777052285088716405e-02	9.981384904977979033e-01
2.021347565043362327e+00	1.777274421880745137e-02	5.815248456161674351e-02	9.981494968702051551e-01
2.031354236157438375e+00	1.599230476590538658e-02	5.848064285520666178e-02	9.981604383061453145e-01
2.041360907271514424e+00	1.420819324837136084e-02	5.875502346433977841e-02	9.981713151870885703e-01
2.051367578385590473e+00	1.242201298411297304e-02	5.897569965550578802e-02	9.981821278922831109e-01
2.061374249499666522e+00	1.063535971100150294e-02	5.914279188553119709e-02	9.981928767987691131e-01
2.071380920613742571e+00	8.849820215915443072e-03	5.925646741824576458e-02	9.982035622813898446e-01
2.081387591727818620e+00	7.066970979743661743e-03	5.931693990185871179e-02	9.982141847128053191e-01
2.091394262841894669e+00	5.288376839457838326e-03	5.932446890764923181e-02	9.982247444635047318e-01
2.101400933955970718e+00	3.515589668342184500e-03	5.927935943060654023e-02	9.982352419018178935e-01
2.111407605070046767e+00	1.750147075446048571e-03	5.918196135268535135e-02	9.982456773939288874e-01
2.121414276184122816e+00	-6.428874698372846847e-06	5.903266886937119651e-02	9.982560513038871708e-01
2.131420947298198865e+00	-1.752632921075004740e-03	5.883191988027932501e-02	9.982663639936210087e-01
2.141427618412274914e+00	-3.486977842906219694e-03	5.858019534453798999e-02	9.982766158229485765e-01
2.151434289526350963e+00	-5.207995673130755114e-03	5.827801860173435072e-02	9.982868071495908380e-01
2.161440960640427011e+00	-6.914238887695768089e-03	5.792595465922685538e-02	9.982969383291833143e-01
2.171447631754503060e+00	-8.604281569748521014e-03	5.752460944665337139e-02	9.983070097152871858e-01
2.181454302868579109e+00	-1.027672054784089205e-02	5.707462903848874863e-02	9.983170216594027258e-01
2.191460973982655158e+00	-1.193017650728806119e-02	5.657669884552841283e-02	9.983269745109804028e-01
2.201467645096731207e+00	-1.356329507385166215e-02	5.603154277619759593e-02	9.983368686174315387e-01
2.211474316210807256e+00	-1.517474786894713705e-02	5.543992236860725842e-02	9.983467043241424088e-01
2.221480987324883305e+00	-1.676323353560484758e-02	5.480263589429786725e-02	9.983564819744839003e-01
2.231487658438959354e+00	-1.832747873444517603e-02	5.412051743463262843e-02	9.983662019098233920e-01
2.241494329553035403e+00	-1.986623910895867276e-02	5.339443593081984879e-02	9.983758644695369666e-01
2.251501000667111452e+00	-2.137830021941372269e-02	5.262529420856206647e-02	9.983854699910205133e-01
2.261507671781187501e+00	-2.286247844474606841e-02	5.181402797834617352e-02	9.983950188097007183e-01
2.271514342895263550e+00	-2.431762185181672933e-02	5.096160481240463030e-02	9.984045112590468340e-01
2.281521014009339599e+00	-2.574261103145741511e-02	5.006902309939244983e-02	9.984139476705821137e-01
2.291527685123415647e+00	-2.713635990075537532e-02	4.913731097783823054e-02	9.984233283738938036e-01
2.301534356237491696e+00	-2.849781647106298596e-02	4.816752524944054731e-02	9.984326536966456889e-01
2.311541027351567745e+00	-2.982596358125058286e-02	4.716075027329213326e-02	9.984419239645889732e-01
2.321547698465643794e+00	-3.111981959575492451e-02	4.611809684212533206e-02	9.984511395015723823e-01
2.331554369579719843e+00	-3.237843906700950403e-02	4.504070104168172994e-02	9.984603006295533767e-01
