t	x0	y0	z0	analytical_x0	analytical_y0	analytical_z0
1.601067378252168105e-01	5.114727992995357631e-02	9.875348599008977601e-02	9.937966113650075206e-01	2.628839951335186151e-02	1.072568972245883517e-01	9.938837346736189016e-01
1.701134089392928594e-01	5.409733377935138643e-02	9.722487666159441988e-02	9.937911258590020891e-01	2.789663449578455925e-02	1.068498934722356547e-01	9.938837346736189016e-01
1.801200800533689084e-01	5.700169202703899568e-02	9.560814612191553818e-02	9.937856355880705372e-01	2.949857404781609099e-02	1.064187769163178199e-01	9.938837346736189016e-01
1.901267511674449573e-01	5.985772255426669020e-02	9.390466070738266724e-02	9.937801405482240558e-01	3.109385665992608905e-02	1.059636448468599806e-01	9.938837346736189016e-01
2.001334222815210062e-01	6.266283410689515998e-02	9.211586536952272308e-02	9.937746407354715039e-01	3.268212232486505942e-02	1.054845999734656259e-01	9.938837346736189016e-01
2.101400933955970551e-01	6.541447864332493312e-02	9.024328245257182135e-02	9.937691361458189654e-01	3.426301261889718591e-02	1.049817504021379883e-01	9.938837346736189016e-01
2.201467645096731041e-01	6.811015364584527276e-02	8.828851040086681257e-02	9.937636267752685271e-01	3.583617078268587497e-02	1.044552096108838229e-01	9.938837346736189016e-01
2.301534356237491530e-01	7.074740439330853836e-02	8.625322239721194828e-02	9.937581126198199444e-01	3.740124180180333380e-02	1.039050964241049341e-01	9.938837346736189016e-01
2.401601067378252297e-01	7.332382619306869465e-02	8.413916493337740554e-02	9.937525936754693090e-01	3.895787248684699777e-02	1.033315349857829024e-01	9.938837346736189016e-01
2.501667778519012786e-01	7.583706657015742980e-02	8.194815631394912481e-02	9.937470699382102701e-01	4.050571155314336425e-02	1.027346547314636899e-01	9.938837346736189016e-01
2.601734489659773275e-01	7.828482741170764148e-02	7.968208509480911861e-02	9.937415414040327022e-01	4.204440970002271821e-02	1.021145903590478243e-01	9.938837346736189016e-01
2.701801200800533764e-01	8.066486706467276835e-02	7.734290845758544364e-02	9.937360080689238151e-01	4.357361968964552912e-02	1.014714817983932010e-01	9.938837346736189016e-01
2.801867911941294254e-01	8.297500238492978852e-02	7.493265052146867722e-02	9.937304699288678211e-01	4.509299642536367114e-02	1.008054741797371201e-01	9.938837346736189016e-01
2.901934623082054743e-01	8.521311073589632468e-02	7.245340059384930420e-02	9.937249269798452689e-01	4.660219702959832871e-02	1.001167178009447351e-01	9.938837346736189016e-01
3.002001334222815232e-01	8.737713193483521990e-02	6.990731136128627843e-02	9.937193792178344864e-01	4.810088092121715675e-02	9.940536809359136472e-02	9.938837346736189016e-01
3.102068045363575721e-01	8.946507014506521749e-02	6.729659702237082708e-02	9.937138266388100272e-01	4.958870989239316796e-02	9.867158558788631517e-02	9.938837346736189016e-01
3.202134756504336210e-01	9.147499571234361804e-02	6.462353136410385612e-02	9.937082692387436689e-01	5.106534818492804162e-02	9.791553587644594159e-02	9.938837346736189016e-01
3.302201467645096700e-01	9.340504694373437389e-02	6.189044578345601760e-02	9.937027070136036366e-01	5.253046256602272868e-02	9.713738957692445719e-02	9.938837346736189016e-01
3.402268178785857189e-01	9.525343182732597114e-02	5.909972725583061831e-02	9.936971399593556020e-01	5.398372240347792950e-02	9.633732229351063547e-02	9.938837346736189016e-01
3.502334889926617678e-01	9.701842969121397819e-02	5.625381625219780940e-02	9.936915680719622390e-01	5.542479974030789514e-02	9.551551457729928751e-02	9.938837346736189016e-01
3.602401601067378167e-01	9.869839280021655559e-02	5.335520460671611120e-02	9.936859913473820027e-01	5.685336936875044767e-02	9.467215188554622962e-02	9.938837346736189016e-01
3.702468312208138657e-01	1.002917478888458308e-01	5.040643333670318665e-02	9.936804097815719050e-01	5.826910890365656626e-02	9.380742453981623374e-02	9.938837346736189016e-01
3.802535023348899146e-01	1.017969976291123457e-01	4.741009041686108233e-02	9.936748233704844058e-01	5.967169885524301054e-02	9.292152768303314769e-02	9.938837346736189016e-01
3.902601734489659635e-01	1.032127220317989175e-01	4.436880850970479490e-02	9.936692321100697445e-01	6.106082270119156385e-02	9.201466123544202458e-02	9.938837346736189016e-01
4.002668445630420124e-01	1.045375797798962919e-01	4.128526265418250296e-02	9.936636359962747189e-01	6.243616695807854139e-02	9.108702984949311465e-02	9.938837346736189016e-01
