t	x0	y0	z0
5.803869246164109486e-01	-7.883629168227741790e-02	-7.711423234570089283e-03	9.968577496641556346e-01
5.903935957304869975e-01	-7.813175959946234983e-02	-9.920460365467250949e-03	9.968936816973158477e-01
6.004002668445630464e-01	-7.736829189197433343e-02	-1.209582517114426471e-02	9.969292043185149499e-01
6.104069379586390953e-01	-7.654721201453935919e-02	-1.423603437252197665e-02	9.969643221590960280e-01
6.204136090727151442e-01	-7.566987792017168535e-02	-1.633965164479071752e-02	9.969990397987720243e-01
6.304202801867911932e-01	-7.473768050291187959e-02	-1.840528832327912798e-02	9.970333617661856218e-01
6.404269513008672421e-01	-7.375204202971502587e-02	-2.043160406026254400e-02	9.970672925394614694e-01
6.504336224149432910e-01	-7.271441456296837136e-02	-2.241730743269711515e-02	9.971008365467521894e-01
6.604402935290193399e-01	-7.162627837510851525e-02	-2.436115650090871568e-02	9.971339981667808328e-01
6.704469646430953889e-01	-7.048914035679867962e-02	-2.626195931830772184e-02	9.971667817293770053e-01
6.804536357571714378e-01	-6.930453242011520854e-02	-2.811857439224252700e-02	9.971991915160065556e-01
6.904603068712474867e-01	-6.807400989818086778e-02	-2.992991109614570946e-02	9.972312317602971543e-01
7.004669779853235356e-01	-6.679914994266869521e-02	-3.169493003316734003e-02	9.972629066485575455e-01
7.104736490993995845e-01	-6.548154992058634327e-02	-3.341264335152965836e-02	9.972942203202931344e-01
7.204803202134756335e-01	-6.412282581173493756e-02	-3.508211501187662867e-02	9.973251768687140251e-01
7.304869913275516824e-01	-6.272461060822057122e-02	-3.670246100693040636e-02	9.973557803412390621e-01
7.404936624416277313e-01	-6.128855271737867344e-02	-3.827284953380451216e-02	9.973860347399957638e-01
7.505003335557037802e-01	-5.981631436945325508e-02	-3.979250111936053630e-02	9.974159440223123729e-01
7.605070046697798292e-01	-5.830957003135386202e-02	-4.126068869903164876e-02	9.974455121012076875e-01
7.705136757838558781e-01	-5.677000482779221563e-02	-4.267673764957152782e-02	9.974747428458738963e-01
7.805203468979319270e-01	-5.519931297108000845e-02	-4.404002577622220110e-02	9.975036400821555294e-01
7.905270180120079759e-01	-5.359919620084658415e-02	-4.534998325482803710e-02	9.975322075930231902e-01
8.005336891260840249e-01	-5.197136223491275603e-02	-4.660609252945623060e-02	9.975604491190411816e-01
8.105403602401600738e-01	-5.031752323253328718e-02	-4.780788816611647452e-02	9.975883683588334661e-01
8.205470313542361227e-01	-4.863939427119557540e-02	-4.895495666320336114e-02	9.976159689695405230e-01
8.305537024683121716e-01	-4.693869183813752927e-02	-5.004693621931597530e-02	9.976432545672747620e-01
8.405603735823882205e-01	-4.521713233772107349e-02	-5.108351645913832700e-02	9.976702287275700520e-01
8.505670446964642695e-01	-4.347643061577128459e-02	-5.206443811809275540e-02	9.976968949858265878e-01
8.605737158105403184e-01	-4.171829850196383943e-02	-5.298949268650629540e-02	9.977232568377504274e-01
8.705803869246163673e-01	-3.994444337131551614e-02	-5.385852201405649103e-02	9.977493177397904756e-01
8.805870580386924162e-01	-3.815656672580376024e-02	-5.467141787528864705e-02	9.977750811095680294e-01
8.905937291527684652e-01	-3.635636279711251806e-02	-5.542812149702171232e-02	9.978005503263046583e-01
9.006004002668445141e-01	-3.454551717147157780e-02	-5.612862304848300482e-02	9.978257287312434221e-01
9.106070713809205630e-01	-3.272570543752675171e-02	-5.677296109503532362e-02	9.978506196280673146e-01
9.206137424949966119e-01	-3.089859185814752482e-02	-5.736122201638123308e-02	9.978752262833119335e-01
9.306204136090726609e-01	-2.906582806704771996e-02	-5.789353939015021155e-02	9.978995519267748193e-01
