 t	x0	y0	z0	n
1.012024048096192397e+00	6.589373607067959826e-01	2.341067632824846700e-01	7.148395470664450357e-01	0.000000000000000000e+00
1.022044088176352616e+00	6.616729076057953352e-01	2.260173688358742550e-01	7.149161575492617438e-01	0.000000000000000000e+00
1.032064128256513058e+00	6.643093140448204093e-01	2.178955619657592657e-01	7.149927687389057152e-01	0.000000000000000000e+00
1.042084168336673278e+00	6.668461899973732177e-01	2.097425559441135900e-01	7.150693806282139020e-01	0.000000000000000000e+00
1.052104208416833719e+00	6.692831602658166901e-01	2.015595688134245445e-01	7.151459932100211470e-01	0.000000000000000000e+00
1.062124248496993939e+00	6.716198645406855627e-01	1.933478232056706214e-01	7.152226064771581848e-01	0.000000000000000000e+00
1.072144288577154159e+00	6.738559574577922540e-01	1.851085461605507798e-01	7.152992204224531969e-01	0.000000000000000000e+00
1.082164328657314600e+00	6.759911086531144031e-01	1.768429689429912022e-01	7.153758350387309228e-01	0.000000000000000000e+00
1.092184368737474820e+00	6.780250028154570785e-01	1.685523268599569691e-01	7.154524503188129936e-01	0.000000000000000000e+00
1.102204408817635262e+00	6.799573397368804395e-01	1.602378590765958233e-01	7.155290662555180425e-01	0.000000000000000000e+00
1.112224448897795481e+00	6.817878343608830827e-01	1.519008084317410856e-01	7.156056828416613724e-01	0.000000000000000000e+00
1.122244488977955923e+00	6.835162168283344108e-01	1.435424212528010890e-01	7.156823000700552884e-01	0.000000000000000000e+00
1.132264529058116143e+00	6.851422325211466990e-01	1.351639471700627482e-01	7.157589179335088758e-01	0.000000000000000000e+00
1.142284569138276584e+00	6.866656421036798630e-01	1.267666389304366037e-01	7.158355364248280006e-01	0.000000000000000000e+00
1.152304609218436804e+00	6.880862215618724909e-01	1.183517522106710823e-01	7.159121555368157530e-01	0.000000000000000000e+00
1.162324649298597246e+00	6.894037622400894794e-01	1.099205454300638124e-01	7.159887752622714485e-01	0.000000000000000000e+00
1.172344689378757465e+00	6.906180708756838316e-01	1.014742795626978888e-01	7.160653955939919602e-01	0.000000000000000000e+00
1.182364729458917685e+00	6.917289696312624026e-01	9.301421794923066255e-02	7.161420165247708303e-01	0.000000000000000000e+00
1.192384769539078126e+00	6.927362961246515960e-01	8.454162610826350399e-02	7.162186380473980485e-01	0.000000000000000000e+00
1.202404809619238346e+00	6.936399034565573496e-01	7.605777154732047685e-02	7.162952601546608289e-01	0.000000000000000000e+00
