t	x0	y0	z0
2.501667778519012786e-01	7.770710548925514882e-02	8.424147857852788690e-02	9.934107806156450282e-01
2.601734489659773275e-01	8.030155939289136680e-02	8.201055453260339134e-02	9.933911256420226987e-01
2.701801200800533764e-01	8.283211255808420326e-02	7.969992450861471123e-02	9.933714124950877578e-01
2.801867911941294254e-01	8.529632176298082569e-02	7.731141445883259189e-02	9.933516410053797596e-01
2.901934623082054743e-01	8.769179583198591366e-02	7.484692507606342804e-02	9.933318110029597525e-01
3.002001334222815232e-01	9.001619791798415315e-02	7.230843031404364518e-02	9.933119223174105006e-01
3.102068045363575721e-01	9.226724774261774176e-02	6.969797583825955434e-02	9.932919747778352626e-01
3.202134756504336210e-01	9.444272379250068239e-02	6.701767740837838438e-02	9.932719682128555716e-01
3.302201467645096700e-01	9.654046546928589378e-02	6.426971919354042273e-02	9.932519024506104577e-01
3.402268178785857189e-01	9.855837519153552717e-02	6.145635202182540141e-02	9.932317773187555598e-01
3.502334889926617678e-01	1.004944204463827512e-01	5.857989156526906271e-02	9.932115926444612386e-01
3.602401601067378167e-01	1.023466357890124162e-01	5.564271646186693537e-02	9.931913482544114657e-01
3.702468312208138657e-01	1.041131247880289490e-01	5.264726637606291504e-02	9.931710439748031582e-01
3.802535023348899146e-01	1.057920619148223912e-01	4.959603999927903600e-02	9.931506796313438468e-01
3.902601734489659635e-01	1.073816943750891123e-01	4.649159299210108703e-02	9.931302550492517867e-01
4.002668445630420124e-01	1.088803438807089130e-01	4.333653586979090838e-02	9.931097700532529604e-01
4.102735156771180614e-01	1.102864083602297790e-01	4.013353183285198189e-02	9.930892244675812996e-01
4.202801867911941103e-01	1.115983636062603257e-01	3.688529454442824457e-02	9.930686181159767978e-01
4.302868579052701592e-01	1.128147648581221685e-01	3.359458585636899280e-02	9.930479508216839557e-01
4.402935290193462081e-01	1.139342483181674803e-01	3.026421348584344348e-02	9.930272224074512266e-01
4.503002001334222570e-01	1.149555326002216771e-01	2.689702864443790920e-02	9.930064326955287957e-01
4.603068712474983060e-01	1.158774201086673755e-01	2.349592362171654125e-02	9.929855815076681358e-01
4.703135423615743549e-01	1.166987983467438345e-01	2.006382932527264393e-02	9.929646686651205645e-01
4.803202134756504593e-01	1.174186411526947638e-01	1.660371277934205581e-02	9.929436939886349123e-01
4.903268845897265082e-01	1.180360098624586712e-01	1.311857458409302832e-02	9.929226572984580779e-01
5.003335557038025572e-01	1.185500543976567844e-01	9.611446337747823684e-03	9.929015584143321416e-01
5.103402268178786061e-01	1.189600142776980618e-01	6.085388023730644788e-03	9.928803971554934771e-01
5.203468979319546550e-01	1.192652195548840610e-01	2.543485365073753189e-03	9.928591733406721964e-01
5.303535690460307039e-01	1.194650916714627004e-01	-1.011152851650900814e-03	9.928378867880897074e-01
5.403602401601067529e-01	1.195591442376465335e-01	-4.575397480573648729e-03	9.928165373154582696e-01
5.503669112741828018e-01	1.195469837296786741e-01	-8.146101746610233049e-03	9.927951247399786627e-01
5.603735823882588507e-01	1.194283101070988534e-01	-1.172010399902409516e-02	9.927736488783406310e-01
5.703802535023348996e-01	1.192029173484309007e-01	-1.529423048607823389e-02	9.927521095467196632e-01
5.803869246164109486e-01	1.188706939045847677e-01	-1.886529814836160682e-02	9.927305065607765489e-01
5.903935957304869975e-01	1.184316230693366334e-01	-2.243011742835159666e-02	9.927088397356564897e-01
6.004002668445630464e-01	1.178857832663230548e-01	-2.598549509375277719e-02	9.926871088859863246e-01
6.104069379586390953e-01	1.172333482520589581e-01	-2.952823707213312818e-02	9.926653138258751952e-01
6.204136090727151442e-01	1.164745872345610556e-01	-3.305515129436170652e-02	9.926434543689116596e-01
6.304202801867911932e-01	1.156098649072342666e-01	-3.656305054433715146e-02	9.926215303281625824e-01
