h	euler	heun	rk4	
1.000000000000000056e-01	4.815064664251811344e+00	5.770699354131519909e-02	2.736646503640148271e-04
1.000000000000000021e-02	2.984296064584363584e-01	5.671031873747194675e-05	2.812048682860032737e-09
1.000000000000000021e-03	2.585808621079372163e-02	5.679764701977090712e-08	2.376721382225681037e-14
1.000000000000000048e-04	2.549500980904463674e-03	5.692613157833179101e-11	5.899745228519960214e-15
1.000000000000000082e-05	2.545905223574942955e-04	8.961265007769259961e-14	1.260106087232278312e-14
