t	x0	y0	z0	analytical_x0	analytical_y0	analytical_z0
1.260840560373582386e+00	1.005234105194848099e-01	-3.352113034844354800e-02	9.943698395253619537e-01	1.047546797996583290e-01	-3.495109456498554645e-02	9.938837346736189016e-01
1.270847231487658435e+00	9.997568762232754425e-02	-3.501602882242543791e-02	9.943735412861456346e-01	1.042178283391067134e-01	-3.652076405964136546e-02	9.938837346736189016e-01
1.280853902601734484e+00	9.940575379858251903e-02	-3.650204631280298123e-02	9.943772406520141605e-01	1.036574580528355216e-01	-3.808219191753740157e-02	9.938837346736189016e-01
1.290860573715810533e+00	9.881375210776795204e-02	-3.797885310896766814e-02	9.943809376244659992e-01	1.030736953995448762e-01	-3.963502577142278410e-02	9.938837346736189016e-01
1.300867244829886582e+00	9.819983049941868880e-02	-3.944612179181629374e-02	9.943846322049988418e-01	1.024666721168877581e-01	-4.117891519345456830e-02	9.938837346736189016e-01
1.310873915943962631e+00	9.756414177656118347e-02	-4.090352730621091282e-02	9.943883243951093798e-01	1.018365251917408010e-01	-4.271351177427873402e-02	9.938837346736189016e-01
1.320880587058038680e+00	9.690684355811592099e-02	-4.235074703285907072e-02	9.943920141962934167e-01	1.011833968292904368e-01	-4.423846920165575708e-02	9.938837346736189016e-01
1.330887258172114729e+00	9.622809824023619008e-02	-4.378746085959855927e-02	9.943957016100463120e-01	1.005074344209415244e-01	-4.575344333861274676e-02	9.938837346736189016e-01
1.340893929286190778e+00	9.552807295659261622e-02	-4.521335125207085609e-02	9.943993866378623148e-01	9.980879051105547017e-02	-4.725809230110489256e-02	9.938837346736189016e-01
1.350900600400266827e+00	9.480693953761319681e-02	-4.662810332376771810e-02	9.944030692812344530e-01	9.908762276252570944e-02	-4.875207653516825529e-02	9.938837346736189016e-01
1.360907271514342876e+00	9.406487446868873337e-02	-4.803140490543562208e-02	9.944067495416550884e-01	9.834409392119773663e-02	-5.023505889354708959e-02	9.938837346736189016e-01
