t	x0	y0	z0	analytical_x0	analytical_y0	analytical_z0
9.206137424949966119e-01	3.397714910769397134e-01	-2.281101845071272782e-01	9.124259299118353539e-01	3.303021555716560004e-02	1.053761206890189289e-01	9.938837346736189016e-01
9.306204136090726609e-01	3.388654434712837782e-01	-2.387750244386704634e-01	9.100311527224342889e-01	3.337794873350780761e-02	1.052664927199668393e-01	9.938837346736189016e-01
9.406270847231487098e-01	3.376946716769086976e-01	-2.495273267133107931e-01	9.075783282694300791e-01	3.372531806331987431e-02	1.051557172613425545e-01	9.938837346736189016e-01
9.506337558372247587e-01	3.362546471855312191e-01	-2.603604006311511232e-01	9.050664473005947119e-01	3.407231975999631957e-02	1.050437955206878077e-01	9.938837346736189016e-01
9.606404269513009186e-01	3.345410285413061291e-01	-2.712673412237907589e-01	9.024945040319639622e-01	3.441895004093908916e-02	1.049307287180397258e-01	9.938837346736189016e-01
9.706470980653769676e-01	3.325496718773087168e-01	-2.822410337785102308e-01	8.998614974460971139e-01	3.476520512759885551e-02	1.048165180859175483e-01	9.938837346736189016e-01
9.806537691794530165e-01	3.302766414138327833e-01	-2.932741588899391849e-01	8.971664326443544724e-01	3.511108124551626936e-02	1.047011648693091795e-01	9.938837346736189016e-01
9.906604402935290654e-01	3.277182198912695910e-01	-3.043591980479464221e-01	8.944083222527104970e-01	3.545657462436298257e-02	1.045846703256576027e-01	9.938837346736189016e-01
1.000667111407605114e+00	3.248709189091692484e-01	-3.154884397691920528e-01	8.915861878804050011e-01	3.580168149798287208e-02	1.044670357248471820e-01	9.938837346736189016e-01
1.010673782521681163e+00	3.217314891419697509e-01	-3.266539862783742199e-01	8.886990616305040502e-01	3.614639810443298629e-02	1.043482623491898409e-01	9.938837346736189016e-01
1.020680453635757212e+00	3.182969304008211875e-01	-3.378477607436775609e-01	8.857459876611903926e-01	3.649072068602458863e-02	1.042283514934110589e-01	9.938837346736189016e-01
1.030687124749833261e+00	3.145645015099479691e-01	-3.490615150693001101e-01	8.827260237963547862e-01	3.683464548936420807e-02	1.041073044646357582e-01	9.938837346736189016e-01
1.040693795863909310e+00	3.105317299650832696e-01	-3.602868382461891228e-01	8.796382431837856952e-01	3.717816876539437043e-02	1.039851225823740649e-01	9.938837346736189016e-01
1.050700466977985359e+00	3.061964213406965785e-01	-3.715151652602680654e-01	8.764817359989802714e-01	3.752128676943468355e-02	1.038618071785069180e-01	9.938837346736189016e-01
1.060707138092061408e+00	3.015566684120203345e-01	-3.827377865554770775e-01	8.732556111923110986e-01	3.786399576122246452e-02	1.037373595972715806e-01	9.938837346736189016e-01
1.070713809206137457e+00	2.966108599572809812e-01	-3.939458580468959137e-01	8.699589982769861951e-01	3.820629200495358896e-02	1.036117811952469436e-01	9.938837346736189016e-01
1.080720480320213506e+00	2.913576892050653844e-01	-4.051304116770642616e-01	8.665910491549384531e-01	3.854817176932331252e-02	1.034850733413387042e-01	9.938837346736189016e-01
1.090727151434289555e+00	2.857961618914105495e-01	-4.162823665063745127e-01	8.631509399774704994e-01	3.888963132756673158e-02	1.033572374167646135e-01	9.938837346736189016e-01
1.100733822548365604e+00	2.799256038910120648e-01	-4.273925403260898093e-01	8.596378730371667665e-01	3.923066695749963251e-02	1.032282748150391838e-01	9.938837346736189016e-01
1.110740493662441652e+00	2.737456683869053387e-01	-4.384516617801437754e-01	8.560510786872690403e-01	3.957127494155889685e-02	1.030981869419586860e-01	9.938837346736189016e-01
1.120747164776517701e+00	2.672563425431092043e-01	-4.494503829794246341e-01	8.523898172843976662e-01	3.991145156684307305e-02	1.029669752155857321e-01	9.938837346736189016e-01
1.130753835890593750e+00	2.604579536450194466e-01	-4.603792925897304267e-01	8.486533811501774105e-01	4.025119312515294118e-02	1.028346410662338284e-01	9.938837346736189016e-01
1.140760507004669799e+00	2.533511746728387415e-01	-4.712289293720396399e-01	8.448410965470215528e-01	4.059049591303184185e-02	1.027011859364518331e-01	9.938837346736189016e-01
1.150767178118745848e+00	2.459370292740105102e-01	-4.819897961511613871e-01	8.409523256630165866e-01	4.092935623180601196e-02	1.025666112810081493e-01	9.938837346736189016e-01
1.160773849232821897e+00	2.382168961015136976e-01	-4.926523741862436911e-01	8.369864686005491494e-01	4.126777038762499683e-02	1.024309185668749456e-01	9.938837346736189016e-01
1.170780520346897946e+00	2.301925124859686422e-01	-5.032071379140370393e-01	8.329429653630315844e-01	4.160573469150189579e-02	1.022941092732121277e-01	9.938837346736189016e-01
1.180787191460973995e+00	2.218659774108122096e-01	-5.136445700332448183e-01	8.288212978338020953e-01	4.194324545935351062e-02	1.021561848913511844e-01	9.938837346736189016e-01
1.190793862575050044e+00	2.132397537613215099e-01	-5.239551768957692035e-01	8.246209917410143309e-01	4.228029901204061192e-02	1.020171469247789925e-01	9.938837346736189016e-01
1.200800533689126093e+00	2.043166698200090392e-01	-5.341295041681931588e-01	8.203416186020928702e-01	4.261689167540792106e-02	1.018769968891214128e-01	9.938837346736189016e-01
1.210807204803202142e+00	1.950999199828690744e-01	-5.441581527244445660e-01	8.159827976411009320e-01	4.295301978032423779e-02	1.017357363121267344e-01	9.938837346736189016e-01
1.220813875917278191e+00	1.855930646731346612e-01	-5.540317947282921152e-01	8.115441976721792239e-01	4.328867966272248458e-02	1.015933667336490209e-01	9.938837346736189016e-01
1.230820547031354240e+00	1.758000294315933132e-01	-5.637411898621369488e-01	8.070255389420293302e-01	4.362386766363948731e-02	1.014498897056314020e-01	9.938837346736189016e-01
