t	Mz
4.411764705882353255e+00	9.897639382274606490e+00
4.421768707482993221e+00	9.897909967214516769e+00
4.431772709083633188e+00	9.898179927409120893e+00
4.441776710684274043e+00	9.898449263837250101e+00
4.451780712284914010e+00	9.898717977478566965e+00
4.461784713885553977e+00	9.898986069313558289e+00
4.471788715486194832e+00	9.899253540323517342e+00
4.481792717086834799e+00	9.899520391490522542e+00
4.491796718687474765e+00	9.899786623797442786e+00
4.501800720288115620e+00	9.900052238227896595e+00
4.511804721888755587e+00	9.900317235766259216e+00
4.521808723489395554e+00	9.900581617397641310e+00
4.531812725090036409e+00	9.900845384107869407e+00
4.541816726690676376e+00	9.901108536883484135e+00
4.551820728291316343e+00	9.901371076711711794e+00
4.561824729891957197e+00	9.901633004580460806e+00
4.571828731492597164e+00	9.901894321478303951e+00
4.581832733093237131e+00	9.902155028394467706e+00
4.591836734693877986e+00	9.902415126318812710e+00
4.601840736294517953e+00	9.902674616241824879e+00
4.611844737895157920e+00	9.902933499154601193e+00
4.621848739495798775e+00	9.903191776048831940e+00
4.631852741096438741e+00	9.903449447916795378e+00
4.641856742697078708e+00	9.903706515751331096e+00
4.651860744297719563e+00	9.903962980545843564e+00
4.661864745898359530e+00	9.904218843294273711e+00
4.671868747498999497e+00	9.904474104991093597e+00
4.681872749099640352e+00	9.904728766631290426e+00
4.691876750700280319e+00	9.904982829210357664e+00
4.701880752300920285e+00	9.905236293724271945e+00
4.711884753901561140e+00	9.905489161169491297e+00
4.721888755502201107e+00	9.905741432542932046e+00
4.731892757102841074e+00	9.905993108841967043e+00
4.741896758703481929e+00	9.906244191064402571e+00
4.751900760304121896e+00	9.906494680208465908e+00
4.761904761904761862e+00	9.906744577272803554e+00
4.771908763505402717e+00	9.906993883256452804e+00
4.781912765106042684e+00	9.907242599158841756e+00
4.791916766706682651e+00	9.907490725979769763e+00
4.801920768307323506e+00	9.907738264719396781e+00
4.811924769907963473e+00	9.907985216378230930e+00
4.821928771508603440e+00	9.908231581957114287e+00
4.831932773109244295e+00	9.908477362457212223e+00
4.841936774709884261e+00	9.908722558880002751e+00
4.851940776310524228e+00	9.908967172227256981e+00
4.861944777911165083e+00	9.909211203501035570e+00
4.871948779511805050e+00	9.909454653703672733e+00
4.881952781112445017e+00	9.909697523837760258e+00
4.891956782713084984e+00	9.909939814906140398e+00
4.901960784313725839e+00	9.910181527911895216e+00
4.911964785914365805e+00	9.910422663858325265e+00
4.921968787515005772e+00	9.910663223748949591e+00
4.931972789115646627e+00	9.910903208587484414e+00
4.941976790716286594e+00	9.911142619377837804e+00
4.951980792316926561e+00	9.911381457124090133e+00
4.961984793917567416e+00	9.911619722830492307e+00
4.971988795518207382e+00	9.911857417501444445e+00
4.981992797118847349e+00	9.912094542141488773e+00
4.991996798719488204e+00	9.912331097755302523e+00
5.002000800320128171e+00	9.912567085347671281e+00
5.012004801920768138e+00	9.912802505923499652e+00
5.022008803521408993e+00	9.913037360487779281e+00
5.032012805122048960e+00	9.913271650045587080e+00
5.042016806722688926e+00	9.913505375602076342e+00
5.052020808323329781e+00	9.913738538162455427e+00
5.062024809923969748e+00	9.913971138731991317e+00
5.072028811524609715e+00	9.914203178315982967e+00
5.082032813125250570e+00	9.914434657919755978e+00
5.092036814725890537e+00	9.914665578548659042e+00
5.102040816326530503e+00	9.914895941208042629e+00
5.112044817927171358e+00	9.915125746903250104e+00
5.122048819527811325e+00	9.915354996639610619e+00
5.132052821128451292e+00	9.915583691422426682e+00
5.142056822729092147e+00	9.915811832256961722e+00
5.152060824329732114e+00	9.916039420148429429e+00
5.162064825930372081e+00	9.916266456101983096e+00
5.172068827531012936e+00	9.916492941122706739e+00
5.182072829131652902e+00	9.916718876215606215e+00
5.192076830732292869e+00	9.916944262385591458e+00
5.202080832332933724e+00	9.917169100637472923e+00
5.212084833933573691e+00	9.917393391975945605e+00
5.222088835534213658e+00	9.917617137405583705e+00
5.232092837134854513e+00	9.917840337930829975e+00
5.242096838735494480e+00	9.918062994555977951e+00
5.252100840336134446e+00	9.918285108285173735e+00
5.262104841936775301e+00	9.918506680122394670e+00
5.272108843537415268e+00	9.918727711071444020e+00
5.282112845138055235e+00	9.918948202135943859e+00
5.292116846738696090e+00	9.919168154319320863e+00
5.302120848339336057e+00	9.919387568624793872e+00
